edge_type_id target_query source_query weight_sigma distance_range weight_function target_sections dynamics_params syn_weight delay model_template
182 node_type_id=='471129934' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 7.838888615299999e-05 0.9 exp2syn
183 node_type_id=='471143169' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 1.11237593421e-05 0.9 exp2syn
184 node_type_id=='471758398' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 4.70591699995e-05 0.9 exp2syn
185 node_type_id=='471767045' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 2.68385960753e-05 0.9 exp2syn
186 node_type_id=='485574832' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 2.4373507985e-05 0.9 exp2syn
187 node_type_id=='485835055' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 1.49208102125e-05 0.9 exp2syn
188 node_type_id=='485880739' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 2.48387417058e-05 0.9 exp2syn
189 node_type_id=='486052980' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 4.55150733334e-05 0.9 exp2syn
190 node_type_id=='486110216' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000103239822184 0.9 exp2syn
191 node_type_id=='487664663' pop_name=='i23Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 2.33257923903e-05 0.9 exp2syn
192 node_type_id=='471129934' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00103795967626 1.5 exp2syn
193 node_type_id=='471143169' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00044308964526699996 1.5 exp2syn
194 node_type_id=='471758398' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0006198463559269999 1.5 exp2syn
195 node_type_id=='471767045' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000794301297115 1.5 exp2syn
196 node_type_id=='485574832' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000835992146815 1.5 exp2syn
197 node_type_id=='485835055' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000647903145051 1.5 exp2syn
198 node_type_id=='485880739' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0007721614098510001 1.5 exp2syn
199 node_type_id=='486052980' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000897951825332 1.5 exp2syn
200 node_type_id=='486110216' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000688643322757 1.5 exp2syn
201 node_type_id=='487664663' pop_name=='e4other' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000890493189227 1.5 exp2syn
202 node_type_id=='471129934' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000631063328775 0.9 exp2syn
203 node_type_id=='471143169' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 8.1517086419e-05 0.9 exp2syn
204 node_type_id=='471758398' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000365628546548 0.9 exp2syn
205 node_type_id=='471767045' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00019647203037299999 0.9 exp2syn
206 node_type_id=='485574832' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00017913739783700005 0.9 exp2syn
207 node_type_id=='485835055' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000108195401734 0.9 exp2syn
208 node_type_id=='485880739' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00018263021151700002 0.9 exp2syn
209 node_type_id=='486052980' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000343337565178 0.9 exp2syn
210 node_type_id=='486110216' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.0008594619073300001 0.9 exp2syn
211 node_type_id=='487664663' pop_name=='i5Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000176302119792 0.9 exp2syn
212 node_type_id=='471129934' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000319715784342 0.9 exp2syn
213 node_type_id=='471143169' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 4.18124345218e-05 0.9 exp2syn
214 node_type_id=='471758398' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00018604291193599997 0.9 exp2syn
215 node_type_id=='471767045' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00010067224174299998 0.9 exp2syn
216 node_type_id=='485574832' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 9.17741681765e-05 0.9 exp2syn
217 node_type_id=='485835055' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 5.55250874805e-05 0.9 exp2syn
218 node_type_id=='485880739' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 9.35347114345e-05 0.9 exp2syn
219 node_type_id=='486052980' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00017534182132799994 0.9 exp2syn
220 node_type_id=='486110216' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.000433977059052 0.9 exp2syn
221 node_type_id=='487664663' pop_name=='i4Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 9.00136512815e-05 0.9 exp2syn
222 node_type_id=='471129934' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00103795967626 1.5 exp2syn
223 node_type_id=='471129934' pop_name=='LIFe4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00103795967626 1.5 exp2syn
224 node_type_id=='471143169' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00044308964526699996 1.5 exp2syn
225 node_type_id=='471758398' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0006198463559269999 1.5 exp2syn
