node_type_id location pop_name population morphology model_type ei model_processing model_template dynamics_params
471786879 VisL6 e6Ntsr1 v1 Ntsr1-Cre_Ai14-181184.05.02.01_491392868_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 471786879_fit.json
471789504 VisL6 e6Ntsr1 v1 Ntsr1-Cre_Ai14-181184.05.01.01_492413318_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 471789504_fit.json
471819401 VisL6 e6Ntsr1 v1 Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 471819401_fit.json
100000106 VisL6 LIFi6Htr3a v1  point_process i  nrn:IntFire1 i6Htr3a_avg_lif.json
581001895 VisL6 i6Htr3a v1 Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 481001895_fit.json
581136138 VisL6 i6Htr3a v1 Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 481136138_fit.json
100000103 VisL6 LIFi6Pvalb v1  point_process i  nrn:IntFire1 i6Pvalb_avg_lif.json
321708130 VisL6 i6Pvalb v1 Pvalb-IRES-Cre_Ai14-172101.05.02.01_491119710_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 321708130_fit.json
471087830 VisL6 i6Pvalb v1 Pvalb-IRES-Cre_Ai14-180634.04.01.01_495335480_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 471087830_fit.json
478058328 VisL6 i6Pvalb v1 Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 478058328_fit.json
478828646 VisL6 i6Pvalb v1 Pvalb-IRES-Cre_Ai14-195049.06.01.01_491119604_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 478828646_fit.json
100000120 VisL6 LIFi6Sst v1  point_process i  nrn:IntFire1 i6Sst_avg_lif.json
313862306 VisL6 i6Sst v1 Sst-IRES-Cre_Ai14-167636.04.01.01_491119515_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 313862306_fit.json
473564515 VisL6 i6Sst v1 Sst-IRES-Cre_Ai14-182533.05.01.01_491770886_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 473564515_fit.json
476104386 VisL6 i6Sst v1 Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 476104386_fit.json
476754635 VisL6 i6Sst v1 Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 476754635_fit.json
