% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-156.00000000000009       178.00000000000014       -145.00000000000006      0.5348003927800599
-159.81282739594607       179.81707812175617       -144.99999999999997      0.5348003924910707
-156.3370415559206        176.1244968494392        -140.8584542528913       0.5501743156226515
-161.09882047738034       175.26751580345982       -140.46875000000003      0.5400677861930971
-153.6168093003069        174.91908648326958       -144.99999999999997      0.5559241765069577
-156.16782519025975       171.3541526980626        -144.99999999999997      0.5494674049586906
-117.1408182820501        205.14939878733506       -149.99999999999997      0.39945470591712506
-158.00000000000009       206.00000000000014       -145.00000000000006      0.534800393157742
-156.00000000000009       204.00000000000014       -145.00000000000006      0.5348003932849102
-157.26607043374938       206.82259571836656       -141.7743905414195       0.5534009273978113
-159.54134725042582       202.44870224860333       -144.99999999999997      0.5348003929288466
-157.91199805790652       202.1250942188908        -141.3117218017578       0.5485619468567207
-155.12788612002208       208.0026643010259        -144.99999999999997      0.5589608002880045
-151.88088448869235       202.57229767674608       -140.1656341552734       0.570193447437727
-152.36103904031324       207.1555560414924        -141.7965387271034       0.5694079420221245
-157.99999999999997       229.99999999999997       -144.99999999999997      0.5293655131951316
-155.99999999999997       232                      -144.99999999999997      0.5293655132978491
-159.77977295651974       233.7928819901669        -144.99999999999997      0.5293655128198428
-156.08810609104455       229.81563012138588       -139.39040332733026      0.5563010862724304
-153.65208898344207       228.25598474978457       -144.99999999999997      0.5606707612720712
-144.00000000000006       178.00000000000014       -144.99999999999997      0.6053112804126454
-146.3759630720211        175.10258238684494       -144.99999999999997      0.5806370727078879
-142.00000000000009       176.00000000000014       -144.99999999999997      0.6053112804275681
-145.92086342280265       177.455321306791         -140.46874999999994      0.5827461169814973
-142.84493106147903       179.78446886330417       -140.46874999999994      0.5926888594016009
-140.22409834937378       179.7608774998712        -144.99999999999997      0.6053112806926951
-144.00000000000006       204.00000000000014       -145.00000000000006      0.6053112808940249
-142.00000000000006       206.00000000000014       -145.00000000000006      0.6053112809666835
