time	amplitude
277917.0	-0.9999656238373691
277918.0	-0.9999657952891955
277919.0	-0.9999659658859024
277920.0	-0.9999661356317546
277921.0	-0.9999663045309959
277922.0	-0.9999664725878485
277923.0	-0.9999666398065143
277924.0	-0.9999668061911735
277925.0	-0.9999669717459856
277926.0	-0.9999671364750897
277927.0	-0.9999673003826041
277928.0	-0.9999674634726262
277929.0	-0.9999676257492335
277930.0	-0.9999677872164828
277931.0	-0.9999679478784109
277932.0	-0.9999681077390342
277933.0	-0.9999682668023494
277934.0	-0.999968425072333
277935.0	-0.9999685825529416
277936.0	-0.9999687392481126
277937.0	-0.9999688951617631
277938.0	-0.9999690502977909
277939.0	-0.9999692046600748
277940.0	-0.9999693582524734
277941.0	-0.9999695110788267
277942.0	-0.9999696631429555
277943.0	-0.9999698144486613
277944.0	-0.9999699649997267
277945.0	-0.9999701147999154
277946.0	-0.9999702638529726
277947.0	-0.9999704121626247
277948.0	-0.9999705597325792
277949.0	-0.9999707065665255
277950.0	-0.9999708526681346
277951.0	-0.9999709980410587
277952.0	-0.9999711426889324
277953.0	-0.9999712866153718
277954.0	-0.999971429823975
277955.0	-0.9999715723183225
277956.0	-0.9999717141019764
277957.0	-0.9999718551784813
277958.0	-0.9999719955513642
277959.0	-0.9999721352241344
277960.0	-0.9999722742002839
277961.0	-0.9999724124832869
277962.0	-0.9999725500766006
277963.0	-0.9999726869836647
277964.0	-0.9999728232079019
277965.0	-0.999972958752718
277966.0	-0.9999730936215014
277967.0	-0.9999732278176241
277968.0	-0.9999733613444407
277969.0	-0.9999734942052896
277970.0	-0.9999736264034922
277971.0	-0.9999737579423535
277972.0	-0.9999738888251621
277973.0	-0.99997401905519
277974.0	-0.9999741486356928
277975.0	-0.9999742775699101
277976.0	-0.9999744058610655
277977.0	-0.999974533512366
277978.0	-0.9999746605270029
277979.0	-0.9999747869081517
277980.0	-0.9999749126589719
277981.0	-0.9999750377826073
277982.0	-0.999975162282186
277983.0	-0.9999752861608203
277984.0	-0.9999754094216075
277985.0	-0.9999755320676289
277986.0	-0.9999756541019507
277987.0	-0.9999757755276237
277988.0	-0.9999758963476838
277989.0	-0.9999760165651512
277990.0	-0.9999761361830316
277991.0	-0.9999762552043152
277992.0	-0.9999763736319778
277993.0	-0.9999764914689799
277994.0	-0.9999766087182675
277995.0	-0.9999767253827718
277996.0	-0.9999768414654095
277997.0	-0.9999769569690827
277998.0	-0.999977071896679
277999.0	-0.9999771862510713
278000.0	-0.0
278000.0	0.0
278001.0	0.5024937604036588
278002.0	0.504975083125416
278003.0	0.5074440301984686
278004.0	0.5099006633466223
278005.0	0.5123450439858337
278006.0	0.5147772332257459
278007.0	0.5171972918712168
278008.0	0.5196052804238385
278009.0	0.52200125908345
278010.0	0.524385287749643
278011.0	0.526757426023258
278012.0	0.5291177332078756
278013.0	0.5314662683112983
278014.0	0.5338030900470259
278015.0	0.5361282568357235
278016.0	0.5384418268066822
278017.0	0.5407438577992714
278018.0	0.5430344073643859
278019.0	0.5453135327658842
278020.0	0.5475812909820201
278021.0	0.5498377387068671
278022.0	0.5520829323517359
278023.0	0.5543169280465843
278024.0	0.5565397816414213
278025.0	0.5587515487077023
278026.0	0.5609522845397193
278027.0	0.5631420441559828
278028.0	0.5653208823005971
278029.0	0.5674888534446294
278030.0	0.5696460117874711
278031.0	0.5717924112581932
278032.0	0.5739281055168943
278033.0	0.576053147956042
278034.0	0.5781675917018081
278035.0	0.5802714896153963
278036.0	0.582364894294364
278037.0	0.5844478580739372
278038.0	0.5865204330283189
278039.0	0.5885826709719908
278040.0	0.5906346234610091
278041.0	0.5926763417942927
278042.0	0.5947078770149065
278043.0	0.5967292799113366
278044.0	0.5987406010187608
278045.0	0.6007418906203115
278046.0	0.602733198748333
278047.0	0.6047145751856322
278048.0	0.6066860694667233
278049.0	0.6086477308790659
278050.0	0.6105996084642975
278051.0	0.6125417510194595
278052.0	0.6144742070982168
278053.0	0.6163970250120722
278054.0	0.6183102528315734
278055.0	0.6202139383875158
278056.0	0.6221081292721373
278057.0	0.6239928728403087
278058.0	0.6258682162107174
278059.0	0.6277342062670452
278060.0	0.6295908896591411
278061.0	0.631438312804186
278062.0	0.6332765218878553
278063.0	0.6351055628654716
278064.0	0.6369254814631545
278065.0	0.6387363231789639
278066.0	0.640538133284037
278067.0	0.6423309568237201
278068.0	0.6441148386186951
278069.0	0.6458898232661
278070.0	0.6476559551406433
278071.0	0.6494132783957138
278072.0	0.6511618369644845
278073.0	0.6529016745610106
278074.0	0.6546328346813226
278075.0	0.6563553606045138
278076.0	0.6580692953938221
278077.0	0.6597746818977062
278078.0	0.6614715627509176
278079.0	0.6631599803755661
278080.0	0.6648399769821803
278081.0	0.6665115945707627
278082.0	0.6681748749318404
278083.0	0.6698298596475085
278084.0	0.6714765900924715
278085.0	0.6731151074350763
278086.0	0.6747454526383416
278087.0	0.6763676664609827
278088.0	0.6779817894584292
278089.0	0.6795878619838406
278090.0	0.6811859241891134
278091.0	0.6827760160258859
278092.0	0.684358177246537
278093.0	0.6859324474051796
278094.0	0.6874988658586496
278095.0	0.68905747176749
278096.0	0.6906083040969295
278097.0	0.6921514016178574
278098.0	0.6936868029077919
278099.0	0.6952145463518453
278100.0	0.6967346701436833
278101.0	0.6982472122864798
278102.0	0.699752210593867
278103.0	0.7012497026908813
278104.0	0.7027397260149029
278105.0	0.7042223178165925
278106.0	0.7056975151608225
278107.0	0.7071653549276031
278108.0	0.7086258738130051
278109.0	0.7100791083300768
278110.0	0.7115250948097567
278111.0	0.7129638694017819
278112.0	0.7143954680755926
278113.0	0.7158199266212297
278114.0	0.7172372806502314
278115.0	0.7186475655965221
278116.0	0.720050816717299
278117.0	0.721447069093913
278118.0	0.7228363576327465
278119.0	0.7242187170660851
278120.0	0.7255941819529867
278121.0	0.7269627866801454
278122.0	0.7283245654627502
278123.0	0.7296795523453417
278124.0	0.7310277812026628
278125.0	0.7323692857405049
278126.0	0.7337040994965514
278127.0	0.7350322558412157
278128.0	0.7363537879784756
278129.0	0.7376687289467035
278130.0	0.738977111619492
278131.0	0.7402789687064759
278132.0	0.7415743327541504
278133.0	0.742863236146684
278134.0	0.7441457111067288
278135.0	0.7454217896962254
278136.0	0.7466915038172052
278137.0	0.7479548852125872
278138.0	0.7492119654669722
278139.0	0.750462776007432
278140.0	0.7517073481042953
278141.0	0.7529457128719291
278142.0	0.7541779012695174
278143.0	0.7554039441018342
278144.0	0.7566238720200141
278145.0	0.7578377155223188
278146.0	0.7590455049548988
278147.0	0.7602472705125529
278148.0	0.7614430422394828
278149.0	0.7626328500300438
278150.0	0.7638167236294926
278151.0	0.764994692634731
278152.0	0.7661667864950453
278153.0	0.7673330345128433
278154.0	0.7684934658443859
278155.0	0.7696481095005171
278156.0	0.7707969943473882
278157.0	0.7719401491071803
278158.0	0.7730776023588221
278159.0	0.7742093825387039
278160.0	0.7753355179413892
278161.0	0.7764560367203217
278162.0	0.7775709668885293
278163.0	0.7786803363193244
278164.0	0.7797841727470003
278165.0	0.7808825037675253
278166.0	0.7819753568392322
278167.0	0.7830627592835046
278168.0	0.7841447382854602
278169.0	0.7852213208946304
278170.0	0.7862925340256366
278171.0	0.7873584044588628
278172.0	0.7884189588411256
278173.0	0.7894742236863395
278174.0	0.7905242253761805
278175.0	0.7915689901607458
278176.0	0.7926085441592092
278177.0	0.7936429133604752
278178.0	0.7946721236238272
278179.0	0.7956962006795758
278180.0	0.7967151701297004
278181.0	0.7977290574484905
278182.0	0.798737887983182
278183.0	0.7997416869545906
278184.0	0.8007404794577428
278185.0	0.8017342904625036
278186.0	0.8027231448141994
278187.0	0.8037070672342408
278188.0	0.8046860823207395
278189.0	0.8056602145491234
278190.0	0.8066294882727494
