node_type_id model_processing dynamics_params population pop_name model_type morphology model_template location ei
324025297 aibs_perisomatic 324025297_fit.json v1 e5noRbp4 biophysical Rorb-IRES2-Cre-D_Ai14-172651.04.01.01_491458287_m.swc ctdb:Biophys1.hoc VisL5 e
349621141 aibs_perisomatic 349621141_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg2-Cre_Ai14-176961.06.02.01_491253847_m.swc ctdb:Biophys1.hoc VisL5 e
354190013 aibs_perisomatic 354190013_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc ctdb:Biophys1.hoc VisL5 e
468120757 aibs_perisomatic 468120757_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc ctdb:Biophys1.hoc VisL5 e
468193142 aibs_perisomatic 468193142_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc ctdb:Biophys1.hoc VisL5 e
469793303 aibs_perisomatic 469793303_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg3-Cre_Ai14-180214.05.02.01_492413246_m.swc ctdb:Biophys1.hoc VisL5 e
473601979 aibs_perisomatic 473601979_fit.json v1 e5noRbp4 biophysical Rorb-IRES2-Cre-D_Ai14-181715.04.01.01_491392833_m.swc ctdb:Biophys1.hoc VisL5 e
476048909 aibs_perisomatic 476048909_fit.json v1 e5noRbp4 biophysical Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc ctdb:Biophys1.hoc VisL5 e
476131588 aibs_perisomatic 476131588_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg3-Cre_Ai14-187849.06.02.01_491392799_m.swc ctdb:Biophys1.hoc VisL5 e
480116737 aibs_perisomatic 480116737_fit.json v1 e5noRbp4 biophysical Rorb-IRES2-Cre-D_Ai14-197332.04.02.01_492100936_m.swc ctdb:Biophys1.hoc VisL5 e
480169178 aibs_perisomatic 480169178_fit.json v1 e5noRbp4 biophysical Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc ctdb:Biophys1.hoc VisL5 e
480351780 aibs_perisomatic 480351780_fit.json v1 e5noRbp4 biophysical Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc ctdb:Biophys1.hoc VisL5 e
480353286 aibs_perisomatic 480353286_fit.json v1 e5noRbp4 biophysical Rorb-IRES2-Cre-D_Ai14-197851.05.02.01_492413372_m.swc ctdb:Biophys1.hoc VisL5 e
100000109  i5Htr3a_avg_lif.json v1 LIFi5Htr3a point_process  nrn:IntFire1 VisL5 i
478110866 aibs_perisomatic 478110866_fit.json v1 i5Htr3a biophysical Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc ctdb:Biophys1.hoc VisL5 i
481001895 aibs_perisomatic 481001895_fit.json v1 i5Htr3a biophysical Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc ctdb:Biophys1.hoc VisL5 i
481136138 aibs_perisomatic 481136138_fit.json v1 i5Htr3a biophysical Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc ctdb:Biophys1.hoc VisL5 i
482644550 aibs_perisomatic 482644550_fit.json v1 i5Htr3a biophysical Htr3a-Cre_NO152_Ai14-200442.05.02.01_495337161_m.swc ctdb:Biophys1.hoc VisL5 i
100000111  i5Pvalb_avg_lif.json v1 LIFi5Pvalb point_process  nrn:IntFire1 VisL5 i
313861608 aibs_perisomatic 313861608_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-165874.04.02.01_491119570_m.swc ctdb:Biophys1.hoc VisL5 i
321023397 aibs_perisomatic 321023397_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-171555.06.01.01_496722847_m.swc ctdb:Biophys1.hoc VisL5 i
333785962 aibs_perisomatic 333785962_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc ctdb:Biophys1.hoc VisL5 i
396608557 aibs_perisomatic 396608557_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-177452.03.02.01_491119336_m.swc ctdb:Biophys1.hoc VisL5 i
469610831 aibs_perisomatic 469610831_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-177452.03.01.01_491120251_m.swc ctdb:Biophys1.hoc VisL5 i
471077857 aibs_perisomatic 471077857_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-180633.05.01.01_491119234_m.swc ctdb:Biophys1.hoc VisL5 i
471085676 aibs_perisomatic 471085676_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-180633.04.01.01_491771159_m.swc ctdb:Biophys1.hoc VisL5 i
478793814 aibs_perisomatic 478793814_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc ctdb:Biophys1.hoc VisL5 i
486783119 aibs_perisomatic 486783119_fit.json v1 i5Pvalb biophysical Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc ctdb:Biophys1.hoc VisL5 i
100000118  i5Sst_avg_lif.json v1 LIFi5Sst point_process  nrn:IntFire1 VisL5 i
323475862 aibs_perisomatic 323475862_fit.json v1 i5Sst biophysical Sst-IRES-Cre_Ai14-172534.06.01.01_491770330_m.swc ctdb:Biophys1.hoc VisL5 i
464198958 aibs_perisomatic 464198958_fit.json v1 i5Sst biophysical Sst-IRES-Cre_Ai14-165865.03.01.01_491119181_m.swc ctdb:Biophys1.hoc VisL5 i
475517090 aibs_perisomatic 475517090_fit.json v1 i5Sst biophysical Sst-IRES-Cre_Ai14-184927.03.02.01_492100832_m.swc ctdb:Biophys1.hoc VisL5 i
478396248 aibs_perisomatic 478396248_fit.json v1 i5Sst biophysical Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc ctdb:Biophys1.hoc VisL5 i
482690728 aibs_perisomatic 482690728_fit.json v1 i5Sst biophysical Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc ctdb:Biophys1.hoc VisL5 i
