edge_type_id target_query source_query weight_function dynamics_params target_sections syn_weight delay distance_range model_template weight_sigma
214 node_type_id=='471758398' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00018604291193599997 0.9 "[0.0, 50.0]" exp2syn 90.0
215 node_type_id=='471767045' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00010067224174299998 0.9 "[0.0, 50.0]" exp2syn 90.0
216 node_type_id=='485574832' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 9.17741681765e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
217 node_type_id=='485835055' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 5.55250874805e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
218 node_type_id=='485880739' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 9.35347114345e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
219 node_type_id=='486052980' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00017534182132799994 0.9 "[0.0, 50.0]" exp2syn 90.0
220 node_type_id=='486110216' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000433977059052 0.9 "[0.0, 50.0]" exp2syn 90.0
221 node_type_id=='487664663' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 9.00136512815e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
222 node_type_id=='471129934' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00103795967626 1.5 "[0.0, 1e+20]" exp2syn 30.0
223 node_type_id=='471129934' pop_name=='LIFe4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00103795967626 1.5 "[0.0, 1e+20]" exp2syn 30.0
224 node_type_id=='471143169' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.00044308964526699996 1.5 "[0.0, 1e+20]" exp2syn 30.0
225 node_type_id=='471758398' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0006198463559269999 1.5 "[0.0, 1e+20]" exp2syn 30.0
226 node_type_id=='471767045' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000794301297115 1.5 "[0.0, 1e+20]" exp2syn 30.0
227 node_type_id=='471767045' pop_name=='LIFe4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000794301297115 1.5 "[0.0, 1e+20]" exp2syn 30.0
228 node_type_id=='485574832' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000835992146815 1.5 "[0.0, 1e+20]" exp2syn 30.0
229 node_type_id=='485574832' pop_name=='LIFe4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000835992146815 1.5 "[0.0, 1e+20]" exp2syn 30.0
230 node_type_id=='485835055' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000647903145051 1.5 "[0.0, 1e+20]" exp2syn 30.0
